FIRST,LAST,NICKNAME,URL,FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB
Gabriel,Silva,,http://ufcstats.com/fighter-details/002ca196477ce572,Gabriel Silva,"5' 6""",135 lbs.,"71""",Orthodox,1994-08-26
Aalon,Cruz,,http://ufcstats.com/fighter-details/003d82fa384ca1d0,Aalon Cruz,"6' 0""",145 lbs.,"78""",Switch,1989-09-20
Davi,Ramos,Tasmanian Devil,http://ufcstats.com/fighter-details/0052de90691d4a93,Davi Ramos,"5' 6""",155 lbs.,"70""",Orthodox,1986-11-05
Tyler,Hill,,http://ufcstats.com/fighter-details/006efbb0c1621fd7,Tyler Hill,"6' 3""",170 lbs.,,Switch,1991-08-10
Wesley,Little,,http://ufcstats.com/fighter-details/008c6e1a25751575,Wesley Little,"6' 4""",205 lbs.,,,
Bryan,Travers,,http://ufcstats.com/fighter-details/008cf84faae9c7a5,Bryan Travers,,155 lbs.,,,1983-04-11
Sean,McCorkle,,http://ufcstats.com/fighter-details/008dc37cca279def,Sean McCorkle,"6' 7""",265 lbs.,"81""",Orthodox,1976-07-17
Jeff,Molina,El Jefe,http://ufcstats.com/fighter-details/008ea710276c9606,Jeff Molina,"5' 6""",125 lbs.,"69""",Orthodox,1997-07-17
Jiri,Prochazka,,http://ufcstats.com/fighter-details/009341ed974bad72,Jiri Prochazka,"6' 3""",205 lbs.,"80""",Orthodox,1992-10-14
AJ,Dobson,,http://ufcstats.com/fighter-details/009c4420727149ea,AJ Dobson,"6' 1""",185 lbs.,"76""",Orthodox,1992-01-18
Oron,Kahlon,,http://ufcstats.com/fighter-details/00a35c92b03992b0,Oron Kahlon,"5' 8""",135 lbs.,"70""",Orthodox,1984-11-04
Glaico,Franca Moreira,Nego,http://ufcstats.com/fighter-details/00a3ff40c4b2cf21,Glaico Franca Moreira,"6' 0""",155 lbs.,"77""",Orthodox,1991-02-28
Greg,McIntyre,,http://ufcstats.com/fighter-details/00a905a4a4a2b071,Greg McIntyre,"5' 10""",155 lbs.,,Orthodox,1980-04-21
SangHoon,Yoo,Assassin,http://ufcstats.com/fighter-details/00b490982afd1b17,SangHoon Yoo,"6' 0""",170 lbs.,"74""",Orthodox,1990-01-18
Dylan,Andrews,The Villain,http://ufcstats.com/fighter-details/00debc804e2b1cd4,Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,1979-11-15
Luke,Rockhold,,http://ufcstats.com/fighter-details/00e11b5c8b7bfeeb,Luke Rockhold,"6' 3""",185 lbs.,"77""",Southpaw,1984-10-17
John,Salter,,http://ufcstats.com/fighter-details/010986ee359fb863,John Salter,"6' 1""",185 lbs.,"74""",Southpaw,1985-03-21
Denis,Tiuliulin,,http://ufcstats.com/fighter-details/0112352cb32f5026,Denis Tiuliulin,"6' 1""",185 lbs.,"77""",Orthodox,1988-05-17
Art,Santore,Pachuco,http://ufcstats.com/fighter-details/012fc7cd0779c09a,Art Santore,"6' 2""",185 lbs.,,,1972-10-26
Joe,Brammer,The South Side Strangler,http://ufcstats.com/fighter-details/013da757877044a2,Joe Brammer,"5' 8""",155 lbs.,,Orthodox,1983-08-23
Gabriel,Bonfim,Marretinha,http://ufcstats.com/fighter-details/01641ba5df0c69b0,Gabriel Bonfim,"6' 1""",170 lbs.,"72""",Orthodox,1997-08-20
Gina,Mazany,Danger,http://ufcstats.com/fighter-details/016a8d958883167c,Gina Mazany,"5' 6""",125 lbs.,"68""",Southpaw,1988-08-19
Rachael,Ostovich,,http://ufcstats.com/fighter-details/01784fbc27c68b14,Rachael Ostovich,"5' 3""",125 lbs.,"62""",Orthodox,1991-02-25
Shavkat,Rakhmonov,Nomad,http://ufcstats.com/fighter-details/01afe0916a40c7c5,Shavkat Rakhmonov,"6' 1""",170 lbs.,"77""",Orthodox,1994-10-23
Chase,Sherman,The Vanilla Gorilla,http://ufcstats.com/fighter-details/01b352b6a9074d5c,Chase Sherman,"6' 4""",250 lbs.,"78""",Orthodox,1989-11-16
Benji,Radach,Razor,http://ufcstats.com/fighter-details/01b39decaf0abf6a,Benji Radach,"5' 10""",185 lbs.,,Orthodox,1979-04-05
Michael,Aswell,The Texas Kid,http://ufcstats.com/fighter-details/01c9e4013afce141,Michael Aswell,"5' 8""",145 lbs.,"69""",Orthodox,2000-09-27
Caros,Fodor,The Future,http://ufcstats.com/fighter-details/01d2ed8c502e3828,Caros Fodor,"5' 9""",155 lbs.,"74""",Orthodox,1984-01-07
Koji,Oishi,,http://ufcstats.com/fighter-details/01daf32100ed7517,Koji Oishi,"5' 8""",170 lbs.,,Orthodox,1977-05-31
Gary,Padilla,,http://ufcstats.com/fighter-details/01dd4cdc2446f665,Gary Padilla,"5' 11""",205 lbs.,,,1980-05-04
Paulo,Renato Junior,,http://ufcstats.com/fighter-details/01dfb60661153735,Paulo Renato Junior,"6' 0""",205 lbs.,"73""",Orthodox,1994-01-25
Josh,Bryant,The Beast,http://ufcstats.com/fighter-details/01f022fa494188e2,Josh Bryant,"5' 10""",185 lbs.,,Orthodox,1980-04-23
Israel,Delgado,,http://ufcstats.com/fighter-details/01f4bcd26ac08ad5,Israel Delgado,"5' 10""",155 lbs.,,,
Yoko,Takahashi,,http://ufcstats.com/fighter-details/01f86e2d604e2f3c,Yoko Takahashi,"5' 8""",150 lbs.,,,1973-04-20
Henry,Briones,Bure,http://ufcstats.com/fighter-details/01fcef7e3d051722,Henry Briones,"5' 8""",135 lbs.,"69""",Orthodox,1980-10-22
Jay,Perrin,The Joker,http://ufcstats.com/fighter-details/01fed6f61ebea01f,Jay Perrin,"5' 7""",135 lbs.,"67""",Switch,1993-06-15
Lloyd,Van Dams,,http://ufcstats.com/fighter-details/02177caefe7c07d4,Lloyd Van Dams,"6' 1""",240 lbs.,,Southpaw,1972-03-05
Adrian,Yanez,,http://ufcstats.com/fighter-details/0232cabbc30a2372,Adrian Yanez,"5' 7""",135 lbs.,"70""",Orthodox,1993-11-29
Jason,Reinhardt,,http://ufcstats.com/fighter-details/02500fb9fd79a974,Jason Reinhardt,"5' 6""",135 lbs.,,Orthodox,1969-10-31
Darko,Stosic,,http://ufcstats.com/fighter-details/025f0b1b58fbad01,Darko Stosic,"6' 0""",205 lbs.,"76""",Orthodox,1992-02-09
Harris,Sarmiento,The Hitman,http://ufcstats.com/fighter-details/026b4f7049085842,Harris Sarmiento,"5' 9""",155 lbs.,,Orthodox,1983-09-09
DeMarco,Villalona,,http://ufcstats.com/fighter-details/0275e33febc2818c,DeMarco Villalona,"5' 9""",185 lbs.,,,
Sean,Sherk,The Muscle Shark,http://ufcstats.com/fighter-details/029880cdbf5ca089,Sean Sherk,"5' 6""",155 lbs.,"67""",Orthodox,1973-08-05
Rafael,Alves,The Turn,http://ufcstats.com/fighter-details/029afd138865d20a,Rafael Alves,"5' 8""",155 lbs.,"68""",Orthodox,1990-11-14
Abubakar,Nurmagomedov,,http://ufcstats.com/fighter-details/029e1293e609fd74,Abubakar Nurmagomedov,"5' 11""",170 lbs.,"72""",Orthodox,1989-11-13
Dustin,Poirier,The Diamond,http://ufcstats.com/fighter-details/029eaff01e6bb8f0,Dustin Poirier,"5' 9""",155 lbs.,"72""",Southpaw,1989-01-19
Masakatsu,Okuda,,http://ufcstats.com/fighter-details/02a65a55f25fb4f3,Masakatsu Okuda,,,,,
Rayanne,dos Santos,,http://ufcstats.com/fighter-details/02bb48869eb7ac8f,Rayanne dos Santos,"5' 2""",115 lbs.,"62""",Orthodox,1995-06-08
Rudyard,Moncayo,,http://ufcstats.com/fighter-details/02d276b7d62b3472,Rudyard Moncayo,"5' 10""",195 lbs.,,Orthodox,
Alex,Zuniga,,http://ufcstats.com/fighter-details/02d808afb96669de,Alex Zuniga,,145 lbs.,,,
Kevin,Jordan,The Shaman,http://ufcstats.com/fighter-details/02e52b3a595f0786,Kevin Jordan,"6' 3""",245 lbs.,,Orthodox,1970-12-31
Michael,Knaap,Hammer,http://ufcstats.com/fighter-details/02f0e04acf102ea9,Michael Knaap,"6' 2""",220 lbs.,,Orthodox,1984-02-27
Artem,Lobov,The Russian Hammer,http://ufcstats.com/fighter-details/02f2a9702ba3d167,Artem Lobov,"5' 9""",145 lbs.,"65""",Southpaw,1986-08-11
Uran,Satybaldiev,Gorilla,http://ufcstats.com/fighter-details/02f484417a6fa69d,Uran Satybaldiev,,205 lbs.,,,
Emily,Ducote,Gordinha,http://ufcstats.com/fighter-details/02f8fedc18cbd26c,Emily Ducote,"5' 2""",115 lbs.,"63""",Orthodox,1994-01-01
Trent,Jenkins,,http://ufcstats.com/fighter-details/02fc8f50f56eb307,Trent Jenkins,"6' 2""",185 lbs.,,,
Kerry,Schall,Meat Truck,http://ufcstats.com/fighter-details/030f08370fd1c2bb,Kerry Schall,"6' 2""",265 lbs.,,Orthodox,1971-08-09
Igor,Borisov,,http://ufcstats.com/fighter-details/0313bf497de9c470,Igor Borisov,"6' 0""",235 lbs.,,Orthodox,
