,URL,EVENT_DATE,LOCATION,EVENT,BOUT,WEIGHTCLASS,Red_Victory,FIGHTER_Red,STANCE_Red,DOB_Red,HEIGHT_in_Red,WEIGHT_lbs_Red,REACH_in_Red,FIGHTER_Blue,STANCE_Blue,DOB_Blue,HEIGHT_in_Blue,WEIGHT_lbs_Blue,REACH_in_Blue,Age_yrs_Red,Age_yrs_Blue,WEIGHT_lbs_diff,HEIGHT_in_diff,REACH_in_diff,Age_diff,STANCE_diff,Red_prior_fights,Red_prior_victories,Red_prior_losses,Red_prior_f_win,Blue_prior_fights,Blue_prior_victories,Blue_prior_losses,Blue_prior_f_win
0,http://ufcstats.com/fight-details/998bde5639c61adb,2024-10-12,"Las Vegas, Nevada, USA",UFC Fight Night: Royval vs. Taira ,Brandon Royval  vs. Tatsuro Taira ,Flyweight Bout,1.0,Brandon Royval,Southpaw,1992-08-16,69.0,125.0,68.0,Tatsuro Taira,,2000-01-27,,,,32.156937903844046,24.709779870769903,,,,-7.4471580330741425,,9.0,6.0,3.0,0.6666666666666666,6.0,6.0,0.0,1.0
1,http://ufcstats.com/fight-details/6fa2dae90bda4742,2024-10-12,"Las Vegas, Nevada, USA",UFC Fight Night: Royval vs. Taira ,Brad Tavares  vs. JunYong Park ,Middleweight Bout,0.0,Brad Tavares,Orthodox,1987-12-21,73.0,185.0,74.0,,,,,,,36.811411674515384,,,,,,,24.0,15.0,9.0,0.625,0.0,0.0,0.0,
2,http://ufcstats.com/fight-details/ee5c0b8a757992af,2024-10-12,"Las Vegas, Nevada, USA",UFC Fight Night: Royval vs. Taira ,Chidi Njokuani  vs. Jared Gooden ,Welterweight Bout,1.0,Chidi Njokuani,Orthodox,1988-12-31,75.0,185.0,80.0,Jared Gooden,Orthodox,1993-12-05,72.0,170.0,77.0,35.78195159347278,30.85368524805607,15.0,3.0,3.0,-4.928266345416712,Orthodox_Orthodox,5.0,3.0,2.0,0.6,6.0,2.0,4.0,0.3333333333333333
3,http://ufcstats.com/fight-details/98c29ba02cee5ba3,2024-10-12,"Las Vegas, Nevada, USA",UFC Fight Night: Royval vs. Taira ,Grant Dawson  vs. Rafa Garcia ,Lightweight Bout,1.0,Grant Dawson,Switch,1994-02-20,70.0,155.0,72.0,Rafa Garcia,Orthodox,1994-08-05,67.0,155.0,70.0,30.642864965502135,30.188369291424817,0.0,3.0,2.0,-0.454495674077319,Switch_Orthodox,10.0,9.0,1.0,0.9,7.0,4.0,3.0,0.5714285714285714
4,http://ufcstats.com/fight-details/f690949d90ff1dee,2024-10-12,"Las Vegas, Nevada, USA",UFC Fight Night: Royval vs. Taira ,Daniel Rodriguez  vs. Alex Morono ,Welterweight Bout,1.0,Daniel Rodriguez,Southpaw,1986-12-31,73.0,170.0,74.0,Alex Morono,Orthodox,1990-08-16,71.0,170.0,72.0,37.78337531486146,34.15836162523272,0.0,2.0,2.0,-3.6250136896287373,Southpaw_Orthodox,11.0,7.0,4.0,0.6363636363636364,20.0,13.0,7.0,0.65
5,http://ufcstats.com/fight-details/f1cc9169813c4a3e,2024-10-12,"Las Vegas, Nevada, USA",UFC Fight Night: Royval vs. Taira ,CJ Vergara  vs. Ramazan Temirov ,Flyweight Bout,0.0,CJ Vergara,Orthodox,1991-06-18,66.0,135.0,68.0,Ramazan Temirov,,1997-01-31,,125.0,,33.32055634651188,27.696856861241923,10.0,,,-5.6236994852699596,,6.0,3.0,3.0,0.5,0.0,0.0,0.0,
6,http://ufcstats.com/fight-details/69a5895fde58432c,2024-10-12,"Las Vegas, Nevada, USA",UFC Fight Night: Royval vs. Taira ,Jonathan Pearce  vs. Pat Sabatini ,Featherweight Bout,0.0,Jonathan Pearce,Switch,1992-05-01,72.0,145.0,71.0,Pat Sabatini,Orthodox,1990-11-09,68.0,145.0,70.0,32.44989595882159,33.925637936699154,0.0,4.0,1.0,1.47574197787756,Switch_Orthodox,8.0,5.0,3.0,0.625,7.0,5.0,2.0,0.7142857142857143
7,http://ufcstats.com/fight-details/57415110bd494c79,2024-10-12,"Las Vegas, Nevada, USA",UFC Fight Night: Royval vs. Taira ,Themba Gorimbo  vs. Niko Price ,Welterweight Bout,1.0,Themba Gorimbo,,,72.0,170.0,,Niko Price,Orthodox,1989-09-29,72.0,170.0,76.0,,35.03723579016537,0.0,0.0,,,,4.0,3.0,1.0,0.75,15.0,8.0,7.0,0.5333333333333333
8,http://ufcstats.com/fight-details/85854504ce1aa97a,2024-10-12,"Las Vegas, Nevada, USA",UFC Fight Night: Royval vs. Taira ,Junior Tafa  vs. Sean Sharaf ,Heavyweight Bout,1.0,Junior Tafa,,1996-09-21,,,,Sean Sharaf,,1993-07-11,,260.0,,28.058263059905816,31.25616033293177,,,,3.1978972730259554,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,
9,http://ufcstats.com/fight-details/48dd2c9cb39bd2d4,2024-10-12,"Las Vegas, Nevada, USA",UFC Fight Night: Royval vs. Taira ,Julia Polastri  vs. Cory McKenna ,Women's Strawweight Bout,1.0,Julia Polastri,Orthodox,1998-03-05,62.0,125.0,63.0,Cory McKenna,Orthodox,1999-11-07,63.0,115.0,58.0,26.60716241375534,24.931551856313657,10.0,-1.0,5.0,-1.6756105574416822,Orthodox_Orthodox,1.0,0.0,1.0,0.0,5.0,3.0,2.0,0.6
